날짜,first,last,min,max,수익률,연중 변동폭
2000,1455.2,1320.3,1264.7,1527.5,,0.20779631533169907
2001,1283.3,1148.1,965.8,1373.7,-0.1304249034310384,0.4223441706357425
2002,1154.7,879.8,776.8,1172.5,-0.23369044508318093,0.5093975283213183
2003,909.0,1111.9,800.7,1111.9,0.2638099568083656,0.38865992256775317
2004,1108.5,1211.9,1063.2,1213.5,0.08993614533681082,0.14136568848758468
2005,1202.1,1248.3,1137.5,1272.7,0.030035481475369163,0.118857142857143
2006,1268.8,1418.3,1223.7,1427.1,0.1361852118881679,0.16621721010051482
2007,1416.6,1468.4,1374.1,1565.2,0.035323979411972184,0.13907284768211925
2008,1447.2,903.2,752.4,1447.2,-0.38490874421138654,0.9234449760765551
2009,931.8,1115.1,676.5,1127.8,0.23461027457927353,0.6671101256467109
2010,1133.0,1257.6,1022.6,1259.8,0.12779122948614474,0.23195775474281244
2011,1271.9,1257.6,1099.2,1363.6,0.0,0.24053857350800567
2012,1277.1,1426.2,1277.1,1465.8,0.13406488549618323,0.14775663612872925
2013,1462.4,1848.4,1457.2,1848.4,0.2960314121441594,0.26846006038978865
2014,1832.0,2058.9,1741.9,2090.6,0.11388227656351435,0.2001837074458923
2015,2058.2,2043.9,1867.6,2130.8,-0.007285443683520354,0.14092953523238405
2016,2012.7,2238.8,1829.1,2271.7,0.09535691570037685,0.2419769285440927
2017,2257.8,2673.6,2257.8,2690.2,0.19421118456315867,0.19151386305252882
2018,2695.8,2506.8,2351.1,2930.8,-0.06238779174147202,0.24656543745480852
2019,2510.0,3096.6,2447.9,3096.6,0.2352800382958351,0.2650026553372278
